Museum_num,Species_name,Location,Lat,Long,Hind_foot_length,Bulk_soil_density,Sand_content,Clay_content,Silt_content,Organic_content
AM263546,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,21,,,,,
MNKN605,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,24,,,,,
MSB63385,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,26,,,,,
MNKN585,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,28,,,,,
MNKN622,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,30,,,,,
MNKN625,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,30,,,,,
AM263934,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,32,,,,,
MNKN607,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,33,,,,,
,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,33,,,,,
,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,33,,,,,
MSB63390,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,34,,,,,
MNKN616,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,34,,,,,
AM263933,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,34,,,,,
AM263937,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,34,,,,,
MSB63386,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,35,,,,,
AM263940,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,35,,,,,
AM263942,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,35,,,,,
MSB63387,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,36,,,,,
MSB63388,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,36,,,,,
AM263931,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,36,,,,,
MSB63389,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,36,,,,,
AM263939,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,36,,,,,
AM263935,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,37,,,,,
AM263936,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,37,,,,,
AM263938,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,37,,,,,
AM263932,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,38,,,,,
AM263941,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,38,,,,,
,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,38,,,,,
MNKN604,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,39,,,,,
MNKN623,Ctenomys andersoni,Itahuaticua,-19.8,-63.51666,41,,,,,
AM260829,Ctenomys boliviensis,10KS.SACRUZ,-17.53,-63.11,40,,,,,
AM260827,Ctenomys boliviensis,10KS.SACRUZ,-17.53,-63.11,41.5,,,,,
AM260828,Ctenomys boliviensis,10KS.SACRUZ,-17.53,-63.11,43,,,,,
MSB,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,35,,,,,
MSB,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,36,,,,,
MSB,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,40,,,,,
MSB,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,40,,,,,
MSB,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,42,,,,,
AM256008,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,41,,,,,
AM256009,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,44,,,,,
AM260830,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,39,,,,,
AM260834,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,40,,,,,
AM260831,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,41,,,,,
MSB55381,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,42,,,,,
AM260832,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,43,,,,,
AM260833,Ctenomys boliviensis,12KMS.SAN.CRUZ,-17.8,-63.16,45,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,18,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,31,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,32,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,35,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,35,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,36,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,37,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,37,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,39,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,40,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,40,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,40,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,40,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,41,,,,,
MSB,Ctenomys boliviensis,15KMS.SAN.CRUZ,-17.55,-63.08,41,,,,,
