Sample_MSB,Sample_AM,Sample_NK,Location,lat,long,Bulk_soil_density,Sand_content,Clay_content,Silt_content,Organic_content
,,NK15311,1.5K.SCARANDA,-17.55,-63.53333,,,,,
,,NK11683,10KS.SACRUZ,-17.53,-63.11,,,,,
MSB55381,,,12KMS.SAN.CRUZ,-17.8,-63.16,,,,,
MSB57192,,,14KSWSAND.MACH,-17,-69.06667,,,,,
,,NK15042,15KMS.SAN.CRUZ,-17.55,-63.08,,,,,
MSB57190,,,1K.E.ISCAYACHI,-21.4833,-64.95,,,,,
MSB55365,,,22KM SW SACRUZ,-17.95,-63.3,,,,,
,,NK15231,2K.S.BUENA-V,-17.4667,-63.68333,,,,,
,,NK15244,2K.S.CARANDA,-17.55,-63.53333,,,,,
MSB57198,,,3.5KE.HUANC,-17.6667,-67.45,,,,,
MSB55359,,,3.5KMW.ES.PAIL,-17.65,-62.75,,,,,
,,NK15172,4K.S.BUENA-V,-17.46667,-63.7,,,,,
MSB55368,,,6K.N.BUEN-RETIR,-17.2167,-63.7,,,,,
MSB55367,,,"7KN,38KW ROBERE",-18.27,-60.12,,,,,
MSB57196,,,7KS.4KE.CRUC.V,-19.1333,-66.11667,,,,,
MSB57188,,,8K.W.RAN. TAMBO,-21.4667,-64.26667,,,,,
MSB55362,,,9KN10KW.ROBERE,-18.14,-59.51,,,,,
MSB56088,,,CARANDATYI,-20.75,-63.01667,,,,,
MSB63507,,,Chuhuayaco,-19.43,-63.51,,,,,
MSB55380,AM260801,11691,EST.CA.ESPER,-16.7833,-63.2333,,,,,
MSB55374,,,HUANCAROMA,-17.6667,-67.45,,,,,
MSB63390,,,Itahuaticua,-19.8,-63.5166,,,,,
MSB67112,,,Lluthu Pampa,-17.45,-64.59,,,,,
MSB63382,,,Monteagudo,-18.19,-59.34,,,,,
MSB57201,,,RIO BARRAS,-18.3167,-67.98333,,,,,
MSB63379,,,SC Santa Rosa,-15.5,-61.27,,,,,
MSB87078,,,Tarija,-21.26,-63.55,,,,,
MSB67362,,,Vallegrande,-18.28,-64.08,,,,,
